school_name,address,phone,email,source_url
Creverse April Nokbeon,"5th floor, 15 Seooreung-ro, Eunpyeong-gu, Seoul, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseAprilNokbeon
Embark Recruiting : TheWorknPlay,,,,https://www.theworknplay.com/Work/EmbarkRecruiting
YBM ECC Mokdong,"3F, Mokdong Harvard Building, 20 Mokdongdong-ro 12-gil, Yangcheon District, Seoul, South Korea",,,https://www.theworknplay.com/Work/YBMECCMokdong
ESL AGENT,"135 Yeongdeungpo-ro, Dangsan 1(il)-dong, Yeongdeungpo-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/ESLAGENT
Segero International School,"Segero Christian International School, Songjeong-gil 43(sasipsam)beon, Gangseo-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/SegeroInternationalSchool
One-Stop Prep,"861 Eonju-ro, Sinsa-dong, Gangnam-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/OneStopPrep
Altiora Cheonan,"1842 Buldang-dong, Seobuk-gu, Cheonan-si, Chungcheongnam-do, South Korea",,,https://www.theworknplay.com/Work/AltioraCheonan
Inseong Elementary School,"42 Sinpo-ro 39beon-gil, Jung-gu, Incheon, South Korea",,,https://www.theworknplay.com/Work/InseongElementarySchool
Fayston Central Campus,"Building B Number 403, 232 Gareum-ro, Sejong-si, South Korea",,,https://www.theworknplay.com/Work/FaystonCentralCampus
Simseok Elementary School,"Simseok Elementary School, 10 Maseok-ro 76beon-gil, Hwado-eup, Namyangju-si, Gyeonggi-do, Republic of Korea",,,https://www.theworknplay.com/Work/SimseokElementarySchool
Fayston Central Campus,"Building B Number 403, 232 Gareum-ro, Sejong-si, South Korea",,,https://www.theworknplay.com/Work/FaystonCentralCampus
Avalon Dongdaemun,"77 Dapsimni-ro, Dongdaemun-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/AvalonDongdaemun
SLP Mokdong,"7F, 909-5 Mok-dong, Yangcheon-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/SLPMokdong
